# number / title	text	type	code	data
Vastaavaa				
__Pysyvät vastaavat				
3304	Coinmotion EUR	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "CoinmotionImport"}
3306	Spectrocoin EUR	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "SpectrocoinImport"}
33061	Spectrocoin USD	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "SpectrocoinImport", "currency": "USD"}
33062	Spectrocoin GBP	ASSET	___CASH_AT_CRYPTO_BROKER	{"plugin": "SpectrocoinImport", "currency": "GBP"}
_____Vertaislainavälittäjien valuuttatilit				
3600	Fellow Finance EUR	ASSET	___CASH_AT_P2P	{"plugin": "FellowFinanceImport"}
3602	Mintos EUR	ASSET	___CASH_AT_P2P	{"plugin": "MintosImport"}
3604	PeerBerry EUR	ASSET	___CASH_AT_P2P	{"plugin": "PeerBerryImport"}
3606	Bulkestate EUR	ASSET	___CASH_AT_P2P	{"plugin": "BulkestateImport"}
3608	Crowdestate EUR	ASSET	___CASH_AT_P2P	{"plugin": "CrowdestateImport"}
3610	Fundu EUR	ASSET	___CASH_AT_P2P	{"plugin": "FunduImport"}
____Rahansiirrot ja täsmäytykset				
3900	Täsmäytykset	ASSET		
3910	Rahansiirrot matkalla	ASSET		
3920	Virhemaksut	ASSET		
Vastattavaa				
__Oma pääoma				
___Osakepääoma				
4001	Osakepääoma	EQUITY		
4011	Osakeanti	EQUITY		
___Muut rahastot				
4030	SVOP rahasto	EQUITY		
___Edellisten tilikausien voitto (tappio)				
4040	Edellisten tilikausien voitto/tappio	PROFIT_PREV		
4045	Osingonjako	EQUITY		
4050	Omista osakkeista maksettu määrä	EQUITY		
___Pääomavajaus				
4060	Pääomavajaus	EQUITY		
___Pääomalainat				
4070	Pääomalaina	LIABILITY		
__Tilinpäätössiirtojen kertymä				
___Poistoero				
4080	Perustamismenojen poistoero	LIABILITY		
4082	Tutkimusmenojen poistoero	LIABILITY		
4084	Kehittämismenojen poistoero	LIABILITY		
4086	Aineettomien oikeuksien poistoero	LIABILITY		
4088	Liikearvon poistoero	LIABILITY		
4090	Muiden pitkävaikutteisten menojen poistoero	LIABILITY		
